ebotdata__Business_Metric_Type__c,ebotdata__Current_Confidence_For_Utterance__c,ebotdata__Current_Dialog_Id__c,ebotdata__Current_Dialog_Name__c,ebotdata__Current_Threshold_High__c,ebotdata__Current_Utterance__c,ebotdata__Intent_Name__c,ebotdata__Intent_Type__c,ebotdata__Live_Agent_Session_Id__c,ebotdata__Successful_Resolution__c,ebotdata__Topic_Name__c
Direct,0.8728,0Xd1l00000001DJCAY,Access_Issues,0.678,i am not able to access projects in GTC,business.gtc.access_issues,Business,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,Global Track Complete
,0.9911,0Xd1l00000001D2CAI,Escalation_Flow,0.9897,I see problem with Nitro range while trying to modify selections in Nitro Range,bot.escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
Start,0.9979,0Xd1l00000001CuCAI,Get_Article,0.9811,I am seeing text replaced by the flash player,bot.business_answer.presentation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,0.9979,0Xd1l00000001D2CAI,Escalation_Flow,0.9811,I am seeing text replaced by the flash player,bot.escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
Start,0.9972,0Xd1l00000001CuCAI,Get_Article,0.0222,there is a switch to error in Nielsen Interface to Office,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.9985,0Xd1l00000001DeCAI,Export_XML,0.9981,help me export a product schedule,business.product.export_xml,Business,fee4d1cd-1b2e-4e63-a90d-4380d676e80a,,Tapscan
Start,0.9985,0Xd1l00000001CuCAI,Get_Article,0.9981,help me export a product schedule,bot.business_answer.presentation,Generic,fee4d1cd-1b2e-4e63-a90d-4380d676e80a,,
,,0Xd1l00000001ChCAI,Confused,,help me with the frequency/reach,bot.fallback,Generic,10b202e1-76c2-4a15-8863-831bbcaf9137,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,there is no frequency or reach,bot.offer_escalation,Generic,10b202e1-76c2-4a15-8863-831bbcaf9137,,
,,0Xd1l00000001ChCAI,Confused,,getting a blank screen,bot.fallback,Generic,e11cf05a-d698-4fcf-af94-85997fd611be,,
,,0Xd1l00000001ChCAI,Confused,,getting a blank screen,bot.fallback,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
,0.5446,0Xd1l00000001D2CAI,Escalation_Flow,0.1396,can someone help me connect to Questions,bot.escalation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Direct,0.9817,0Xd1l00000001CtCAI,Password_Reset,0.361,can you help me change my password,business.questions.password_reset,Business,faa30ec4-6f77-4a56-937d-906ce8e63dd1,,questions
,0.9817,0Xd1l00000001D2CAI,Escalation_Flow,0.361,,bot.escalation,Generic,faa30ec4-6f77-4a56-937d-906ce8e63dd1,,
Start,0.9854,0Xd1l00000001CuCAI,Get_Article,0.9838,i need help for the dictionary,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9854,0Xd1l00000001D2CAI,Escalation_Flow,0.9838,i need help for the dictionary,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Start,0.9951,0Xd1l00000001CuCAI,Get_Article,0.9838,nitro dictionary isn't working for me,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9951,0Xd1l00000001D2CAI,Escalation_Flow,0.9838,nitro dictionary isn't working for me,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,,0Xd1l00000001ChCAI,Confused,,there is no frequency or reach,bot.fallback,Generic,10b202e1-76c2-4a15-8863-831bbcaf9137,,
Direct,0.9635,0Xd1l00000001CsCAI,EVIP,0.8223,how do I access the local station ratings,business.questions.evip,Business,51bf0189-0823-47b4-a183-52f5d62e44ca,,questions
Start,0.9635,0Xd1l00000001CuCAI,Get_Article,0.8223,how do I access the local station ratings,bot.business_answer.presentation,Generic,51bf0189-0823-47b4-a183-52f5d62e44ca,,
,0.9635,0Xd1l00000001D2CAI,Escalation_Flow,0.8223,how do I access the local station ratings,bot.escalation,Generic,51bf0189-0823-47b4-a183-52f5d62e44ca,,
,0.2429,0Xd1l00000001ClCAI,Follow_Up_EScheduley,0.1396,Questions,bot.follow-up,Generic,0c17a7bd-e720-41c7-90e3-ad731fac1942,,
,,0Xd1l00000001ChCAI,Confused,,looking for Nielsen VIP,bot.fallback,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Start,0.5994,0Xd1l00000001CuCAI,Get_Article,0.1396,why can't i login to Questions,bot.business_answer.presentation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
,0.5994,0Xd1l00000001D2CAI,Escalation_Flow,0.1396,why can't i login to Questions,bot.escalation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Start,0.9817,0Xd1l00000001CuCAI,Get_Article,0.361,can you help me change my password,bot.business_answer.presentation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Start,0.995,0Xd1l00000001CuCAI,Get_Article,0.9925,why can't I open more than 5 groups for product,bot.business_answer.presentation,Generic,3950f657-b0dd-4260-8592-c13eda6143a4,,
Start,0.9977,0Xd1l00000001CuCAI,Get_Article,0.1338,data doesnt seem updated in Nielsen ITO,bot.business_answer.presentation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
,0.9991,0Xd1l00000001D2CAI,Escalation_Flow,0.997,I am facing database not opened error when trying to select a database in Nitro,bot.escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
Direct,0.9963,0Xd1l00000001DnCAI,Error_3004,0.6503,I get 3004 runtime error when rendering report in AOD,business.product.error.3004,Business,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,Nielsen OnDemand
Start,0.9963,0Xd1l00000001CuCAI,Get_Article,0.6503,I get 3004 runtime error when rendering report in AOD,bot.business_answer.presentation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
Start,0.9977,0Xd1l00000001CuCAI,Get_Article,0.9966,can't enter Data on the tapascan web,bot.business_answer.presentation,Generic,187b10eb-ebef-4a00-be87-4bfc8f523802,,
Direct,0.9986,0Xd1l00000001DYCAY,More_than_5,0.9925,"help ""Cannot open more than 5 research report groups""",business.product.more_than_5,Business,52c933d1-acba-4b0b-8746-5584bb72f890,,Tapscan
Direct,0.9854,0Xd1l00000001DkCAI,Dictionary,0.9838,i need help for the dictionary,business.nitro.dictionary,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,Nitro
Direct,0.9951,0Xd1l00000001DkCAI,Dictionary,0.9838,nitro dictionary isn't working for me,business.nitro.dictionary,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,Nitro
Direct,0.9926,0Xd1l00000001DjCAI,Error_55,0.9897,im having an issue in nitro range,business.nitro.error.55,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,Nitro
Start,0.9926,0Xd1l00000001CuCAI,Get_Article,0.9897,im having an issue in nitro range,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9926,0Xd1l00000001D2CAI,Escalation_Flow,0.9897,im having an issue in nitro range,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.8474,0Xd1l00000001DhCAI,Error_800004005,0.0438,error 55 on nitro page,business.nitro.error.800004005,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,Nitro
Start,0.8474,0Xd1l00000001CuCAI,Get_Article,0.0438,error 55 on nitro page,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,,0Xd1l00000001ChCAI,Confused,,there is an error opening the project,bot.fallback,Generic,61f2385d-91a9-4513-9e88-a25fd6d3d3eb,,
Direct,0.9938,0Xd1l00000001CsCAI,EVIP,0.8223,where do I find the latest book,business.questions.evip,Business,97b75d26-ae36-46ce-8d44-958608a5bb9a,,questions
,0.9963,0Xd1l00000001D2CAI,Escalation_Flow,0.6503,I get 3004 runtime error when rendering report in AOD,bot.escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,,0Xd1l00000001ChCAI,Confused,,I'm having trouble with my schedule,bot.fallback,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,I'm having trouble with my schedule,bot.offer_escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,,0Xd1l00000001ChCAI,Confused,,I want to figure out whether it is possible to add schedule to schedule,bot.fallback,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,1,0Xd1l00000001ChCAI,Confused,0.8465,hello,bot.fallback,Generic,3950f657-b0dd-4260-8592-c13eda6143a4,,
Direct,0.9328,0Xd1l00000001CsCAI,EVIP,0.8223,i can't find evip,business.questions.evip,Business,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,questions
Start,0.9328,0Xd1l00000001CuCAI,Get_Article,0.8223,i can't find evip,bot.business_answer.presentation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
,0.9328,0Xd1l00000001D2CAI,Escalation_Flow,0.8223,i can't find evip,bot.escalation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Direct,0.5365,0Xd1l00000001DOCAY,Crash_On_Launch,0.2637,,business.desktop.crash_on_launch,Business,02deb478-5a28-470a-9b3d-5fc5f4a68285,,questions Desktop
,0.5365,0Xd1l00000001D2CAI,Escalation_Flow,0.2637,,bot.escalation,Generic,02deb478-5a28-470a-9b3d-5fc5f4a68285,,
Start,0.9991,0Xd1l00000001CuCAI,Get_Article,0.9973,I get the 800a03ec error in Nielsen Questions,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9835,0Xd1l00000001D2CAI,Escalation_Flow,0.0222,"please help for error message ""switch to & retry"" in Questions",bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.995,0Xd1l00000001DYCAY,More_than_5,0.9925,why can't I open more than 5 groups for product,business.product.more_than_5,Business,3950f657-b0dd-4260-8592-c13eda6143a4,,Tapscan
Direct,0.9817,0Xd1l00000001CtCAI,Password_Reset,0.361,can you help me change my password,business.questions.password_reset,Business,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,questions
,0.9817,0Xd1l00000001D2CAI,Escalation_Flow,0.361,can you help me change my password,bot.escalation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
,0.9977,0Xd1l00000001D2CAI,Escalation_Flow,0.9966,can't enter Data on the tapascan web,bot.escalation,Generic,187b10eb-ebef-4a00-be87-4bfc8f523802,,
,0.9984,0Xd1l00000001D2CAI,Escalation_Flow,0.9925,how to open more than five report groups in a product,bot.escalation,Generic,db2ebe83-3404-434a-927a-68239eb7dca7,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,the screen is white,bot.offer_escalation,Generic,9a08a55d-f8ee-45b1-bce4-d10a6923e4f0,,
,0.3207,0Xd1l00000001D2CAI,Escalation_Flow,0.0222,dbdate is corrupt in Questions,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Start,0.9771,0Xd1l00000001CuCAI,Get_Article,0.963,there is a red x in Questions,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.9771,0Xd1l00000001DLCAY,Error_8004ade9,0.963,there is a red x in Questions,business.desktop.error.8004ade9,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
Direct,0.9987,0Xd1l00000001DQCAY,Error_800a03ec,0.9973,I see the error 800a03ec on the report,business.desktop.error.800a03ec,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
,,0Xd1l00000001ChCAI,Confused,,what are the steps to add the schedule,bot.fallback,Generic,f17d40af-fb5a-4fc1-abc7-b3d41277d006,,
Direct,0.5446,0Xd1l00000001CkCAI,Questions_Portal,0.1396,can someone help me connect to Questions,business.questions.not_connecting.ie,Business,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,questions
Direct,0.9817,0Xd1l00000001CtCAI,Password_Reset,0.361,can you help me change my password,business.questions.password_reset,Business,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,questions
Start,0.9817,0Xd1l00000001CuCAI,Get_Article,0.361,can you help me change my password,bot.business_answer.presentation,Generic,1de954cb-ce50-45b6-9211-8fb0264f26c8,,
,0.9817,0Xd1l00000001D2CAI,Escalation_Flow,0.361,can you help me change my password,bot.escalation,Generic,1de954cb-ce50-45b6-9211-8fb0264f26c8,,
Direct,0.995,0Xd1l00000001DYCAY,More_than_5,0.9925,why can't I open more than 5 groups for product,business.product.more_than_5,Business,afc24b6a-825e-4f94-8167-687ce26c6c52,,Tapscan
Start,0.995,0Xd1l00000001CuCAI,Get_Article,0.9925,why can't I open more than 5 groups for product,bot.business_answer.presentation,Generic,afc24b6a-825e-4f94-8167-687ce26c6c52,,
Start,0.9817,0Xd1l00000001CuCAI,Get_Article,0.361,,bot.business_answer.presentation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Direct,0.6949,0Xd1l00000001DNCAY,dbdate,0.1338,why is Nielsen Questions Desktop missing some current data,business.desktop.dbdate,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
,0.6949,0Xd1l00000001D2CAI,Escalation_Flow,0.1338,why is Nielsen Questions Desktop missing some current data,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9817,0Xd1l00000001D2CAI,Escalation_Flow,0.361,,bot.escalation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Direct,0.7903,0Xd1l00000001DOCAY,Crash_On_Launch,0.6355,how do I load Questions,business.desktop.crash_on_launch,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
,0.7903,0Xd1l00000001D2CAI,Escalation_Flow,0.6355,how do I load Questions,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,0.9835,0Xd1l00000001DSCAY,Error_Switch_To,0.0222,"please help for error message ""switch to & retry"" in Questions",business.desktop.error.switch_to,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
Start,0.9835,0Xd1l00000001CuCAI,Get_Article,0.0222,"please help for error message ""switch to & retry"" in Questions",bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Direct,1,0Xd1l00000001DWCAY,Product_Access_Problem,0.9427,not able to open project,business.product.access_problem,Business,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,OneLight
Direct,0.9984,0Xd1l00000001DYCAY,More_than_5,0.9925,how to open more than five report groups in a product,business.product.more_than_5,Business,db2ebe83-3404-434a-927a-68239eb7dca7,,Tapscan
Start,0.5446,0Xd1l00000001CuCAI,Get_Article,0.1396,can someone help me connect to Questions,bot.business_answer.presentation,Generic,8e482cc8-4bf8-41e6-91a1-0b4df472eb4a,,
Start,0.5365,0Xd1l00000001CuCAI,Get_Article,0.2637,,bot.business_answer.presentation,Generic,02deb478-5a28-470a-9b3d-5fc5f4a68285,,
,0.9974,0Xd1l00000001D2CAI,Escalation_Flow,0.963,why am I getting error 8004ade9 in Questions Desktop,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9771,0Xd1l00000001D2CAI,Escalation_Flow,0.963,there is a red x in Questions,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Start,0.5451,0Xd1l00000001CuCAI,Get_Article,0.0438,Can you help me with error 800004005?,bot.business_answer.presentation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,0.9991,0Xd1l00000001D2CAI,Escalation_Flow,0.9966,receiving undefined Word in command error message while refreshing a report,bot.escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,0.9938,0Xd1l00000001D2CAI,Escalation_Flow,0.8223,where do I find the latest book,bot.escalation,Generic,e11cf05a-d698-4fcf-af94-85997fd611be,,
Start,0.9226,0Xd1l00000001CuCAI,Get_Article,0.361,,bot.business_answer.presentation,Generic,e11cf05a-d698-4fcf-af94-85997fd611be,,
,0.9226,0Xd1l00000001D2CAI,Escalation_Flow,0.361,,bot.escalation,Generic,e11cf05a-d698-4fcf-af94-85997fd611be,,
,0.9226,0Xd1l00000001ChCAI,Confused,0.361,,bot.fallback,Generic,e11cf05a-d698-4fcf-af94-85997fd611be,,
,1,0Xd1l00000001D2CAI,Escalation_Flow,0.9953,i see an empty screen in AD,bot.escalation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
Direct,0.9817,0Xd1l00000001DOCAY,Crash_On_Launch,0.6355,Nielsen ITO will not load,business.desktop.crash_on_launch,Business,bebb40d5-7d6b-4611-bbc5-446e568daa78,,questions Desktop
Direct,0.9889,0Xd1l00000001DLCAY,Error_8004ade9,0.963,There is failed to open database in Questions,business.desktop.error.8004ade9,Business,bebb40d5-7d6b-4611-bbc5-446e568daa78,,questions Desktop
,1,0Xd1l00000001D2CAI,Escalation_Flow,0.9973,I see error 800a03ec with report in Interface to Office,bot.escalation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
,0.995,0Xd1l00000001D2CAI,Escalation_Flow,0.9925,why can't I open more than 5 groups for product,bot.escalation,Generic,3950f657-b0dd-4260-8592-c13eda6143a4,,
,0.9985,0Xd1l00000001D2CAI,Escalation_Flow,0.9981,help me export a product schedule,bot.escalation,Generic,fee4d1cd-1b2e-4e63-a90d-4380d676e80a,,
,0.9974,0Xd1l00000001D2CAI,Escalation_Flow,0.0149,the research report window won't open,bot.escalation,Generic,03febc3d-4cec-4759-98e9-2d697f355a2c,,
Direct,0.9974,0Xd1l00000001DZCAY,Research_Window,0.0149,the research report window won't open,business.product.research_window,Business,03febc3d-4cec-4759-98e9-2d697f355a2c,,Tapscan
Start,0.9974,0Xd1l00000001CuCAI,Get_Article,0.0149,the research report window won't open,bot.business_answer.presentation,Generic,03febc3d-4cec-4759-98e9-2d697f355a2c,,
Start,0.9938,0Xd1l00000001CuCAI,Get_Article,0.8223,where do I find the latest book,bot.business_answer.presentation,Generic,51bf0189-0823-47b4-a183-52f5d62e44ca,,
,0.9938,0Xd1l00000001D2CAI,Escalation_Flow,0.8223,where do I find the latest book,bot.escalation,Generic,51bf0189-0823-47b4-a183-52f5d62e44ca,,
,0.9817,0Xd1l00000001D2CAI,Escalation_Flow,0.6355,Nielsen ITO will not load,bot.escalation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
Start,0.9889,0Xd1l00000001CuCAI,Get_Article,0.963,There is failed to open database in Questions,bot.business_answer.presentation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
,0.5395,0Xd1l00000001D2CAI,Escalation_Flow,0.0149,how do I generate a report,bot.escalation,Generic,66aef0b7-0fab-4188-a988-861a58111450,,
Direct,0.9938,0Xd1l00000001CsCAI,EVIP,0.8223,where do I find the latest book,business.questions.evip,Business,51bf0189-0823-47b4-a183-52f5d62e44ca,,questions
Start,0.9697,0Xd1l00000001CuCAI,Get_Article,0.361,why can't I reset my password,bot.business_answer.presentation,Generic,faa30ec4-6f77-4a56-937d-906ce8e63dd1,,
Direct,0.5365,0Xd1l00000001DpCAI,Disambig_Blank_Screen,0.2637,why am I getting a blank screen,business.blank_screen.disambig,Generic,faa30ec4-6f77-4a56-937d-906ce8e63dd1,,Disambiguation
Direct,0.9929,0Xd1l00000001DSCAY,Error_Switch_To,0.0222,"I see error message ""switch to"" on Questions",business.desktop.error.switch_to,Business,bebb40d5-7d6b-4611-bbc5-446e568daa78,,questions Desktop
Start,0.9929,0Xd1l00000001CuCAI,Get_Article,0.0222,"I see error message ""switch to"" on Questions",bot.business_answer.presentation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
,0.9929,0Xd1l00000001D2CAI,Escalation_Flow,0.0222,"I see error message ""switch to"" on Questions",bot.escalation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
,,0Xd1l00000001D2CAI,Escalation_Flow,,,bot.escalation,Generic,bebb40d5-7d6b-4611-bbc5-446e568daa78,,
Direct,0.9972,0Xd1l00000001DSCAY,Error_Switch_To,0.0222,there is a switch to error in Nielsen Interface to Office,business.desktop.error.switch_to,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
,0.9972,0Xd1l00000001D2CAI,Escalation_Flow,0.0222,there is a switch to error in Nielsen Interface to Office,bot.escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,,0Xd1l00000001ChCAI,Confused,,can not find the ok button,bot.fallback,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,,0Xd1l00000001D0CAI,Offer_to_Escalate,,can not find the ok button,bot.offer_escalation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.5451,0Xd1l00000001D2CAI,Escalation_Flow,0.0438,Can you help me with error 800004005?,bot.escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
Direct,0.9991,0Xd1l00000001DiCAI,Error_80040dc2,0.997,I am facing database not opened error when trying to select a database in Nitro,business.nitro.error.80040dc2,Business,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,Nitro
,1,0Xd1l00000001D2CAI,Escalation_Flow,0.9427,not able to open project,bot.escalation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
,,0Xd1l00000001ChCAI,Confused,,this screen is blank,bot.fallback,Generic,9a08a55d-f8ee-45b1-bce4-d10a6923e4f0,,
Direct,0.9991,0Xd1l00000001DQCAY,Error_800a03ec,0.9973,I get the 800a03ec error in Nielsen Questions,business.desktop.error.800a03ec,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
Direct,0.9974,0Xd1l00000001DLCAY,Error_8004ade9,0.963,why am I getting error 8004ade9 in Questions Desktop,business.desktop.error.8004ade9,Business,e2d63897-989e-48ca-b2fe-113a0956db57,,questions Desktop
Start,0.9974,0Xd1l00000001CuCAI,Get_Article,0.963,why am I getting error 8004ade9 in Questions Desktop,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
Start,0.9987,0Xd1l00000001CuCAI,Get_Article,0.9973,I see the error 800a03ec on the report,bot.business_answer.presentation,Generic,e2d63897-989e-48ca-b2fe-113a0956db57,,
,0.9635,0Xd1l00000001D2CAI,Escalation_Flow,0.8223,how do I access the local station ratings,bot.escalation,Generic,e11cf05a-d698-4fcf-af94-85997fd611be,,
Direct,0.9226,0Xd1l00000001CtCAI,Password_Reset,0.361,I need assistance to reset my password,business.questions.password_reset,Business,e11cf05a-d698-4fcf-af94-85997fd611be,,questions
Direct,0.9911,0Xd1l00000001DjCAI,Error_55,0.9897,I see problem with Nitro range while trying to modify selections in Nitro Range,business.nitro.error.55,Business,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,Nitro
Start,0.9911,0Xd1l00000001CuCAI,Get_Article,0.9897,I see problem with Nitro range while trying to modify selections in Nitro Range,bot.business_answer.presentation,Generic,f6e4c9e6-956f-46c2-838e-84bcac0c9b7a,,
