ebotdata__Business_Metric_Type__c,ebotdata__Current_Confidence_For_Utterance__c,ebotdata__Current_Dialog_Id__c,ebotdata__Current_Dialog_Name__c,ebotdata__Current_Threshold_High__c,ebotdata__Current_Utterance__c,ebotdata__Intent_Name__c,ebotdata__Intent_Type__c,ebotdata__Live_Agent_Session_Id__c,ebotdata__Successful_Resolution__c,ebotdata__Topic_Name__c
,0.9178,0Xd1l00000001D2CAI,Escalation_Flow,0.1621,having problems with global track complete gtc,bot.escalation,Generic,7c000a27-b7c7-4886-b07d-ba2e3d89fbb8,,
Direct,0.9975,0Xd1l00000001DkCAI,Dictionary,0.9969,product dictionary isn't working for me,business.product.dictionary,Business,97dc8646-6061-4e84-822b-24cad31249a0,,product
Direct,0.9989,0Xd1l00000001DYCAY,More_than_5,0.0164,"help ""Cannot open more than 5 research report groups""",business.product.more_than_5,Business,7d27edb2-2f91-4378-b687-8269f4a5faa8,,product
,0.9989,0Xd1l00000001D2CAI,Escalation_Flow,0.0164,"help ""Cannot open more than 5 research report groups""",bot.escalation,Generic,7d27edb2-2f91-4378-b687-8269f4a5faa8,,
Start,0.7661,0Xd1l00000001CuCAI,Get_Article,0.0737,what is the 10004 error on questions portal,bot.business_answer.presentation,Generic,d10e4098-707b-4c7a-b7b4-63338c7affc6,,
Start,0.4131,0Xd1l00000001CuCAI,Get_Article,0.0184,why is there a 3004 error,bot.business_answer.presentation,Generic,be94d0d4-0aa3-4f35-811f-bdeb6a65bfb8,,
,0.9989,0Xd1l00000001D2CAI,Escalation_Flow,0.9981,error #80040dc2 did not open in database,bot.escalation,Generic,a0c84c64-fc63-4801-9a8c-e43009af984f,,
Direct,0.9096,0Xd1l00000001DgCAI,Undefined_Word,0.0055,help for the undefined word error,business.product.undefined_word,Business,dd4d62a6-74a5-404b-9d78-d12bfc32e7ce,,product
Start,0.9096,0Xd1l00000001CuCAI,Get_Article,0.0055,help for the undefined word error,bot.business_answer.presentation,Generic,dd4d62a6-74a5-404b-9d78-d12bfc32e7ce,,
,0.9096,0Xd1l00000001D2CAI,Escalation_Flow,0.0055,help for the undefined word error,bot.escalation,Generic,dd4d62a6-74a5-404b-9d78-d12bfc32e7ce,,
Direct,0.9969,0Xd1l00000001DjCAI,Error_55,0.9877,there is an error when I refresh a database,business.product.error.55,Business,f2829715-8730-4a1d-80ac-0b3569e4c211,,product
,0.9969,0Xd1l00000001D2CAI,Escalation_Flow,0.9877,there is an error when I refresh a database,bot.escalation,Generic,f2829715-8730-4a1d-80ac-0b3569e4c211,,
Start,0.99,0Xd1l00000001CuCAI,Get_Article,0.977,what is the flash error,bot.business_answer.presentation,Generic,806c818f-b727-4cc2-be33-caaef2d603b4,,
,0.99,0Xd1l00000001D2CAI,Escalation_Flow,0.977,what is the flash error,bot.escalation,Generic,806c818f-b727-4cc2-be33-caaef2d603b4,,
Direct,0.9848,0Xd1l00000001DlCAI,Error_Flash,0.977,there is a chrome flash issue,business.npower.error.flash,Business,2789bf6f-01e4-4bf1-82aa-9b8b88707a13,,NPOWER
Start,0.9848,0Xd1l00000001CuCAI,Get_Article,0.977,there is a chrome flash issue,bot.business_answer.presentation,Generic,2789bf6f-01e4-4bf1-82aa-9b8b88707a13,,
,0.9848,0Xd1l00000001D2CAI,Escalation_Flow,0.977,there is a chrome flash issue,bot.escalation,Generic,2789bf6f-01e4-4bf1-82aa-9b8b88707a13,,
,,0Xd1l00000001ChCAI,Confused,,80040DC2 error is in product,bot.fallback,Generic,a0c84c64-fc63-4801-9a8c-e43009af984f,,
Direct,0.9989,0Xd1l00000001DiCAI,Error_80040dc2,0.9981,error #80040dc2 did not open in database,business.product.error.80040dc2,Business,a0c84c64-fc63-4801-9a8c-e43009af984f,,product
Start,0.9989,0Xd1l00000001CuCAI,Get_Article,0.9981,error #80040dc2 did not open in database,bot.business_answer.presentation,Generic,a0c84c64-fc63-4801-9a8c-e43009af984f,,
Start,0.9969,0Xd1l00000001CuCAI,Get_Article,0.9877,there is an error when I refresh a database,bot.business_answer.presentation,Generic,f2829715-8730-4a1d-80ac-0b3569e4c211,,
Direct,0.7661,0Xd1l00000001DnCAI,Error_3004,0.0737,what is the 10004 error on questions portal,business.product.error.3004,Business,d10e4098-707b-4c7a-b7b4-63338c7affc6,,Company product
,,0Xd1l00000001ChCAI,Confused,,i need help for the dictionary,bot.fallback,Generic,97dc8646-6061-4e84-822b-24cad31249a0,,
Start,0.6623,0Xd1l00000001CuCAI,Get_Article,0.0737,the error: 3004 on the questions On Demand is showing,bot.business_answer.presentation,Generic,d4e2af59-b644-4409-a874-7cbfb94e9743,,
Direct,0.418,0Xd1l00000001DgCAI,Undefined_Word,0.0055,i am having an error creating a spot,business.product.undefined_word,Business,12267fae-2dd9-4c7d-81d2-fae9c458c5ce,,product
Start,0.418,0Xd1l00000001CuCAI,Get_Article,0.0055,i am having an error creating a spot,bot.business_answer.presentation,Generic,12267fae-2dd9-4c7d-81d2-fae9c458c5ce,,
Direct,0.6434,0Xd1l00000001DqCAI,Disambig_Schedule,0.5278,help with a schedule,business.schedule.disambig,Generic,dbf4f56e-3499-4603-bc9e-58f0e8bf97f0,,Disambiguation
Direct,0.9983,0Xd1l00000001DeCAI,Export_XML,0.9977,help me export a product schedule,business.product.export_xml,Business,244615ad-cb38-40c7-9c49-c0bd135571b8,,product
Start,0.9983,0Xd1l00000001CuCAI,Get_Article,0.9977,help me export a product schedule,bot.business_answer.presentation,Generic,244615ad-cb38-40c7-9c49-c0bd135571b8,,
Direct,0.9984,0Xd1l00000001DYCAY,More_than_5,0.0164,why can't I open more than 5 groups for product,business.product.more_than_5,Business,209b991a-1a5b-4469-9d5f-4dfc35b3814d,,product
Direct,0.99,0Xd1l00000001DlCAI,Error_Flash,0.977,what is the flash error,business.npower.error.flash,Business,806c818f-b727-4cc2-be33-caaef2d603b4,,NPOWER
Direct,0.4131,0Xd1l00000001DhCAI,Error_800004005,0.0184,why is there a 3004 error,business.product.error.800004005,Business,be94d0d4-0aa3-4f35-811f-bdeb6a65bfb8,,product
Direct,0.6623,0Xd1l00000001DnCAI,Error_3004,0.0737,the error: 3004 on the questions On Demand is showing,business.product.error.3004,Business,d4e2af59-b644-4409-a874-7cbfb94e9743,,Company product
Direct,0.4016,0Xd1l00000001DhCAI,Error_800004005,0.0184,the error 10004 is occurring,business.product.error.800004005,Business,0e96c7c1-f5f9-4dd4-8878-e069be0d150f,,product
Start,0.4016,0Xd1l00000001CuCAI,Get_Article,0.0184,the error 10004 is occurring,bot.business_answer.presentation,Generic,0e96c7c1-f5f9-4dd4-8878-e069be0d150f,,
,0.4016,0Xd1l00000001D2CAI,Escalation_Flow,0.0184,the error 10004 is occurring,bot.escalation,Generic,0e96c7c1-f5f9-4dd4-8878-e069be0d150f,,
,0.7661,0Xd1l00000001D2CAI,Escalation_Flow,0.0737,what is the 10004 error on questions portal,bot.escalation,Generic,d10e4098-707b-4c7a-b7b4-63338c7affc6,,
